" B001E4KFG0"," A3SGXH7AUHU8GW"," delmartian"," 1/1",5,1303862400," Good Quality Dog Food"," I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most."
" B00813GRG4"," A1D87F6ZCVE5NK"," dll pa"," 0/0",1,1346976000," Not as Advertised"," Product arrived labeled as Jumbo Salted Peanuts...the peanuts were actually small sized unsalted. Not sure if this was an error or if the vendor intended to represent the product as ""Jumbo""."
" B000LQOCH0"," ABXLMWJIXXAIN"," Natalia Corres ""Natalia Corres"""," 1/1",4,1219017600," ""Delight"" says it all"," This is a confection that has been around a few centuries.  It is a light"
" B000UA0QIQ"," A395BORC6FGVXV"," Karl"," 3/3",2,1307923200," Cough Medicine"," If you are looking for the secret ingredient in Robitussin I believe I have found it.  I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda.  The flavor is very medicinal."
" B006K2ZZ7K"," A1UQRSCLF8GW1T"," Michael D. Bigham ""M. Wassir"""," 0/0",5,1350777600," Great taffy"," Great taffy at a great price.  There was a wide assortment of yummy taffy.  Delivery was very quick.  If your a taffy lover"
" B006K2ZZ7K"," ADT0SRK1MGOEU"," Twoapennything"," 0/0",4,1342051200," Nice Taffy"," I got a wild hair for taffy and ordered this five pound bag. The taffy was all very enjoyable with many flavors"
" B006K2ZZ7K"," A1SP2KVKFXXRU1"," David C. Sullivan"," 0/0",5,1340150400," Great!  Just as good as the expensive brands!"," This saltwater taffy had great flavors and was very soft and chewy.  Each candy was individually wrapped well.  None of the candies were stuck together"
" B006K2ZZ7K"," A3JRGQVEQN31IQ"," Pamela G. Williams"," 0/0",5,1336003200," Wonderful"," tasty taffy"
" B000E7L2R4"," A1MZYO9TZK0BBI"," R. James"," 1/1",5,1322006400," Yay Barley"," Right now I'm mostly just sprouting this so my cats can eat the grass. They love it. I rotate it around with Wheatgrass and Rye too"
" B00171APVA"," A21BT40VZCCYT4"," Carol A. Reed"," 0/0",5,1351209600," Healthy Dog Food"," This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding."
" B0001PB9FE"," A3HDKO7OW0QNK4"," Canadian Fan"," 1/1",5,1107820800," The Best Hot Sauce in the World"," I don't know if it's the cactus or the tequila or just the unique combination of ingredients"
" B0009XLVG0"," A2725IB4YY9JEB"," A Poeng ""SparkyGoHome"""," 4/4",5,1282867200," My cats LOVE this ""diet"" food better than their regular food"," One of my boys needed to lose some weight and the other didn't.  I put this food on the floor for the chubby guy"
" B0009XLVG0"," A327PCT23YH90"," LT"," 1/1",1,1339545600," My Cats Are Not Fans of the New Food"," My cats have been happily eating Felidae Platinum for more than two years. I just got a new bag and the shape of the food is different. They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food. I've noticed similar reviews related to formula changes in the past. Unfortunately"
" B001GVISJM"," A18ECVX2RJ7HUE"," willie ""roadie"""," 2/2",4,1288915200," fresh and greasy!"," good flavor! these came securely packed... they were fresh and delicious! i love these Twizzlers!"
" B001GVISJM"," A2MUGFV2TDQ47K"," Lynrie ""Oh HELL no"""," 4/5",5,1268352000," Strawberry Twizzlers - Yummy"," The Strawberry Twizzlers are my guilty pleasure - yummy. Six pounds will be around for a while with my son and I."
" B001GVISJM"," A1CZX3CP8IKQIJ"," Brian A. Lee"," 4/5",5,1262044800," Lots of twizzlers"," just what you expect."
" B001GVISJM"," A3KLWF6WQ5BNYO"," Erica Neathery"," 0/0",2,1348099200," poor taste"," I love eating them and they are good for watching TV and looking at movies! It is not too sweet. I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them."
" B001GVISJM"," AFKW14U97Z6QO"," Becca"," 0/0",5,1345075200," Love it!"," I am very satisfied with my Twizzler purchase.  I shared these with others and we have all enjoyed them.  I will definitely be ordering more."
" B001GVISJM"," A2A9X58G2GTBLP"," Wolfee1"," 0/0",5,1324598400," GREAT SWEET CANDY!"," Twizzlers"
" B001GVISJM"," A3IV7CL2C13K2U"," Greg"," 0/0",5,1318032000," Home delivered twizlers"," Candy was delivered very fast and was purchased at a reasonable price.  I was home bound and unable to get to a store so this was perfect for me."
" B001GVISJM"," A1WO0KGLPR5PV6"," mom2emma"," 0/0",5,1313452800," Always fresh"," My husband is a Twizzlers addict.  We've bought these many times from Amazon because we're government employees living overseas and can't get them in the country we are assigned to.  They've always been fresh and tasty"
" B001GVISJM"," AZOF9E17RGZH8"," Tammy Anderson"," 0/0",5,1308960000," TWIZZLERS"," I bought these for my husband who is currently overseas. He loves these"
" B001GVISJM"," ARYVQL4N737A1"," Charles Brown"," 0/0",5,1304899200," Delicious product!"," I can remember buying this candy as a kid and the quality hasn't dropped in all these years. Still a superb product you won't be disappointed with."
" B001GVISJM"," AJ613OLZZUG7V"," Mare's"," 0/0",5,1304467200," Twizzlers"," I love this candy.  After weight watchers I had to cut back but still have a craving for it."
" B001GVISJM"," A22P2J09NJ9HKE"," S. Cabanaugh ""jilly pepper"""," 0/0",5,1295481600," Please sell these in Mexico!!"," I have lived out of the US for over 7 yrs now"
" B001GVISJM"," A3FONPR03H3PJS"," Deborah S. Linzer ""Cat Lady"""," 0/0",5,1288310400," Twizzlers - Strawberry"," Product received is as advertised.<br /><br /><a href=""http"
" B001GVISJM"," A3RXAU2N8KV45G"," lady21"," 0/1",1,1332633600," Nasty No flavor"," The candy is just red "
" B001GVISJM"," AAAS38B98HMIK"," Heather Dube"," 0/1",4,1331856000," Great Bargain for the Price"," I was so glad Amazon carried these batteries.  I have a hard time finding them elsewhere because they are such a unique size.  I need them for my garage door opener.<br />Great deal for the price."
" B00144C10S"," A2F4LZVGFLD1OB"," DaisyH"," 0/0",5,1338854400," YUMMY!"," I got this for my Mum who is not diabetic but needs to watch her sugar intake"
" B0001PB9FY"," A3HDKO7OW0QNK4"," Canadian Fan"," 1/1",5,1107820800," The Best Hot Sauce in the World"," I don't know if it's the cactus or the tequila or just the unique combination of ingredients"
" B003F6UO7K"," AFM0O9480F04W"," Sherril"," 0/0",5,1297641600," Great machine!"," I have never been a huge coffee fan. However"
" B003F6UO7K"," A31OQO709M20Y7"," Molly V. Smith ""staral"""," 0/1",5,1288310400," THIS IS MY TASTE..."," This offer is a great price and a great taste"
" B001EO5QW8"," AOVROBZ8BNTP7"," S. Potter"," 19/19",4,1163376000," Best of the Instant Oatmeals"," McCann's Instant Oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it. There is no escaping the fact"
" B001EO5QW8"," A3PMM0NFVEJGK9"," Megan ""Bad at Nicknames"""," 13/13",4,1166313600," Good Instant"," This is a good instant oatmeal from the best oatmeal brand.  It uses cane sugar instead of high fructouse corn syrup"
" B001EO5QW8"," A2EB6OGOWCRU5H"," CorbyJames"," 9/9",5,1175212800," Great Irish oatmeal for those in a hurry!"," Instant oatmeal can become soggy the minute the water hits the bowl. McCann's Instant Oatmeal holds its texture"
" B001EO5QW8"," A2CI0RLADCRKPF"," T. J. Ryan"," 3/3",4,1210464000," satisfying"," McCann's Instant Irish Oatmeal"
" B001EO5QW8"," A1MYS9LFFBIYKM"," Abby Chase ""gluten free"""," 2/2",5,1190851200," Love Gluten Free Oatmeal!!!"," For those of us with celiac disease this product is a lifesaver and what could be better than getting it at almost half the price of the grocery or health food store!  I love McCann's instant oatmeal - all flavors!!!<br /><br />Thanks"
" B001EO5QW8"," A3MGP2E1ZZ6GRB"," Zardoz ""focuspuller"""," 1/1",5,1238457600," it's oatmeal"," What else do you need to know? Oatmeal"
" B001EO5QW8"," A2GHZ2UTV2B0CD"," JERRY REITH"," 0/0",4,1350777600," GOOD WAY TO START THE DAY...."," I WAS VISITING MY FRIEND NATE THE OTHER MORNING FOR COFFEE "
" B001EO5QW8"," AO80AC8313NIZ"," kYpondman"," 0/0",5,1317168000," Wife's favorite Breakfast"," I ordered this for my wife as it was reccomended by our daughter.  She has this almost every morning and likes all flavors.  She's happy"
" B001EO5QW8"," AQCY5KRO7489S"," Garrett"," 0/0",5,1303430400," Why wouldn't you buy oatmeal from Mcanns? Tastes great!"," The variety packs taste great!<br /><br />I have them every morning. At $0.30 cents per meal"
" B001EO5QW8"," A1WK4ALVZDYPUE"," Dick Baldwin ""christobe"""," 0/0",5,1302134400," Oatmeal For Oatmeal Lovers"," McCann's makes oatmeal for every oatmeal connoisseur"
" B001EO5QW8"," A16XFOYQSJREL7"," Roger Pugliese"," 0/0",5,1287014400," Food-Great"," I have McCann's Oatmeal every morning and by ordering it from Amazon I am able to save almost $3.00 per box.<br />It is a great product. Tastes great and very healthy"
" B001EO5QW8"," A17DW6SUOC70DJ"," Mother of 9"," 0/0",5,1255392000," Good Hot Breakfast"," McCann's Oatmeal is a good quality choice.  Our favorite is the Apples and Cinnamon"
" B001EO5QW8"," A2G7B7FKP2O2PU"," D. Leschke"," 0/0",5,1209686400," Great taste and convenience"," We really like the McCann's steel cut oats but find we don't cook it up too often.<br />This tastes much better to me than the grocery store brands and is just as convenient.<br />Anything that keeps me eating oatmeal regularly is a good thing."
" B001EO5QW8"," A39Z97950MCTQE"," K. A. Freel"," 0/0",3,1205193600," Hearty Oatmeal"," This seems a little more wholesome than some of the supermarket brands"
" B001EO5QW8"," AQLL2R1PPR46X"," grumpyrainbow"," 0/0",5,1192752000," good"," Good oatmeal.  I like the apple cinnamon the best.  Though I wouldn't follow the directions on the package since it always comes out too soupy for my taste.  That could just be me since I like my oatmeal really thick to add some milk on top of."
" B001EO5QW8"," A26AY1TFK8BQXQ"," kbogo ""shoelover"""," 1/2",3,1200096000," Mushy"," The flavors are good.  However"
" B001EO5QW8"," ALOR97KTZTK1P"," knitty pants"," 1/2",4,1191715200," Very good but next time I won't order the Variety Pack"," I really like the Maple and Brown Sugar flavor. The regular is fine with brown sugar added. The Apples and Cinnamon flavor is OK. This is a very quick"
" B001EO5QW8"," A276999Y6VRSCQ"," JMay"," 0/1",3,1334016000," Same stuff"," This is the same stuff you can buy at the big box stores.  There is nothing healthy about it.  It is just carbs and sugars.  Save your money and get something that at least has some taste."
" B001EO5QW8"," A108P30XVUFKXY"," Roberto A"," 0/7",1,1203379200," Don't like it"," This oatmeal is not good. Its mushy"
" B000G6RPMY"," A3S5KJDA6ED2PS"," Mike Kaser"," 4/4",5,1243900800," HOT!  And good!  Came back for more"," Got a free package of these with a bottle of bloody mary mix I bought from the seller"
" B000G6RPMY"," A9L6L5H9BPEBO"," Edwin C. Pauzer"," 1/1",4,1348876800," You'll go nuts over Ass-Kickin' Peanuts."," This wasn't in stock the last time I looked. I had to go to the Vermont Country Store in Weston to find it along with a jaw harp"
" B000G6RPMY"," AQ9DWWYP2KJCQ"," Roel Trevino ""protomex"""," 0/0",3,1278028800," not ass kickin"," we're used to spicy foods down here in south texas and these are not at all spicy.  doubt very much habanero is used at all.  could take it up a notch or two."
" B002GWHC0G"," A1ND7WC5LXOU48"," David Belton ""Proteus 1"""," 2/2",4,1322438400," Roasts up a smooth brew"," I roast at home with a stove-top popcorn popper (but I do it outside"
" B002GWHC0G"," A2EFAW1P3DRXWO"," TJ Fairfax"," 0/0",5,1349395200," Our guests love it!"," We roast these in a large cast iron pan on the grill (about 1/3 of the bag at a time).  The smell is wonderful and the roasted beans taste delicious too.  More importantly"
" B004N5KULM"," A202WR509428VF"," amateur amazon shopper"," 2/2",5,1322438400," Awesome Deal!"," Deal was awesome!  Arrived before Halloween as indicated and was enough to satisfy trick or treaters.  I love the quality of this product and it was much less expensive than the local store's candy."
" B004N5KULM"," ASCNNAJU6SXF8"," S. Beck"," 1/1",5,1336176000," How can you go wrong!"," It is chocolate"
" B004N5KULM"," A2A7KXM9B4XW90"," P. Kelso ""Amazon all the way!"""," 0/0",5,1320364800," Awsome - Kids in neighborhood loved us!"," Great product"
" B004N5KULM"," A2QOGOXPOVKAJG"," mimimc"," 0/0",5,1320105600," great deal."," Halloween is over but"
" B004N5KULM"," A1ZR8O62VSU4OK"," Lisa J. Szlosek ""lisa"""," 2/4",3,1318723200," Better price for this at Target"," Watch your prices with this.  While the assortment was good"
" B004N5KULM"," A7ZK2A3VIW7X9"," Peggy"," 0/2",5,1319414400," pretty expensive"," This bag of candy online is pretty expensive"
" B001EO5TPM"," A1E09XGZUR78C6"," gary sturrock"," 2/2",1,1215302400," stale product."," Arrived in 6 days and were so stale i could not eat any of the 6 bags!!"
" B005DUM9UQ"," A3HR0ZZOFKQ97N"," RLC"," 3/3",5,1333497600," Hammer Nutrition 's Fizz Rocks!"," I have used the endurolyte product for several years in both pill and powder form.  Long desert rides on the dirt bike always found my camelbak water heavily laced with the endurolyte powder"
" B005DUM9UQ"," A2XIHNXODNZGV4"," ChemProf ""chem professor"""," 1/1",5,1333584000," great source of electrolytes"," This product serves me well as a source of electrolytes during and after a long run or bike ride.<br />I have tried all of the flavors but really do like the grapefruit flavor... no after-taste and I actually like the slight carbonation.<br />I use other Hammer products and really like their whole product line."
" B005DUM9UQ"," A3TWF9DQ6MU87E"," dhy4b"," 1/1",5,1331510400," Great for preventing cramps"," This stuff really works for preventing cramping during the middle to latter stages of your rides. Pop 1 into each water bottle and you're set. Flavor is fine and goes down easy."
" B005DUM9UQ"," AEFIZIJ1FK1BK"," Doug"," 0/0",5,1345161600," Low Carb Alternative to Gatorade"," For those of us on a low carb diet these little tablets are just the thing.<br /><br />Two years ago I started cycling again after many years but was having heart arrhythmia after longer rides in high heat.  I was drinking plain water but did a little research and thought electrolytes might be the issue.  Gatorade wasn't an option because it is so loaded with carbohydrates so I looked around for a low-carb alternative.  The ""zero carb"" sports drinks didn't help so what to do?  One day I ran across these at my bike shop so tried a tube of them.....voila!...problem solved!!<br /><br />I've shared them with two friends in particular whose problems with leg cramps were resolved while using these.<br /><br />These guys got it right -- they are superbly formulated and simply work....."
" B005DUM9UQ"," A8OFFIAL6XTOH"," Bill Shirer"," 0/1",2,1338422400," Taste is not so good."," I purchased the Mango flavor"
" B000E7VI7S"," A1KL2LAW08X6UQ"," calmnsense"," 0/0",3,1169251200," How much would you pay for a bag of chocolate pretzels?"," If you're impulsive like me"
" B000E7VI7S"," AWCBF2ZWIN57F"," C. Salcido"," 0/2",5,1185753600," pretzel haven!"," this was sooooo deliscious but too bad i ate em too fast and gained 2 pds! my fault"
" B001GVISJC"," A27TKQHFW0FB5N"," Chet"," 2/2",5,1254355200," Great Gummi!"," These Albanese gummi bears and rings and so on are very good and tasty and high quality. The bears even have little faces. At my local candy store this type of gummi stuff (bears"
" B001GVISJC"," A3BDOAPSF96WGQ"," 2tall"," 1/1",5,1289260800," Bigger then other brands"," Grape gummy bears are hard to find in my area. In fact pretty much anyone I talk to about grape gummy bears they think I'm lying. So I bought 10lbs..."
" B006SQBRMA"," ATYMT48R62ENE"," Marie"," 0/0",5,1327017600," Best ever latice tart"," I ordered two of these and two of raspberry latice tarts directly from FantasiCakes website for a dinner party I was hosting. It arrived fresh and intact. Very good size. I froze half for later use. I am a pastry lover and these were the best I've ever tasted. The pastry was soft"
" B0059WXJKM"," A25VFHVGI4CFTP"," Diana Robinson"," 0/1",1,1335744000," Warning!  WARNING!  -ALCOHOL SUGARS!"," Buyer Beware Please! This sweetener is not for everybody.  Maltitol is an alcohol sugar and can be undigestible in the body.  You will know a short time after consuming it if you are one of the unsuspecting many who cannot digest it by the extreme intestinal bloating and cramping and massive amounts of gas a person can experience. Nausea"
" B001EPPI84"," A3Q0IDQ03S0158"," Jen"," 0/0",2,1287705600," nothing special"," It is okay.  I would not go out of my way to buy it again"
" B001EPPI84"," A27TZ4WBU7N0YF"," I. So"," 0/0",1,1275004800," No Tea Flavor"," No tea flavor at all. Just whole brunch of artifial flavors. It is not returnable. I wasted 20+ bucks."
" B004X2KR36"," A2W3ABLWMJ84NS"," Jessica Snyder"," 0/0",5,1348444800," Good"," These looked like a perfect snack to through in with my trail mix.  Unfortunately"
" B004X2KR36"," A26M5O53PHZTKN"," Debs ""peanut"""," 0/0",5,1348185600," Taste great"," These taste really good. I have been purchasing a different brand and these are very similar in taste and texture. I agree with the other reviewer regarding ordering in the summer. There is no insulating packaging with ice packs so they will melt in warm weather like all chocolate food items. Order in cold weather and buy enough to last!!!"
" B004X2KR36"," A2AB7M9UCNBVN7"," sharonh4"," 0/0",3,1346976000," Order only in cold weather"," The taste was great"
" B005R8JE8O"," A3H1EQD2PBC085"," jmc"," 0/0",5,1344902400," this is the best"," i know i cannot make tea this good.  granted"
" B0066DMI6Y"," AB30HQTI5VOLR"," Melinda Bishop"," 1/1",5,1325116800," Delicious!"," This peppermint stick is delicious and fun to eat.  My dad got me one for Christmas because he remembered me having a similar one when I was a little girl.  I'm 30 now and I love it!"
" B0066DMI6Y"," AZLONLC8OZPEC"," John W. Hollis"," 1/1",4,1324598400," Great"," Great gift for all ages! I purchased these giant canes before and the recipients loved them so much"
" B003ZFRKGO"," A2VOZX7YBT0D6D"," Johnnycakes ""Johnnycakes"""," 15/15",5,1325635200," Forget Molecular Gastronomy - this stuff rockes a coffee creamer!"," I know the product title says Molecular Gastronomy"
" B0019CW0HE"," A1FD9E5C06UB6B"," BRENDA DEMERS"," 5/5",3,1301011200," Natural Balance Lamb and Rice"," While my dogs like all of the flavors that we have tried of this dog food"
" B0019CW0HE"," AK2CXHH9VRZ2A"," I. GLENN"," 4/4",3,1313193600," INCREASED MY DOGS ITCHING"," Awesome dog food. However"
" B0019CW0HE"," A25BGFRHYHEZKK"," Toby's mom"," 4/4",5,1292889600," Great food!"," We have three dogs and all of them love this food!  We bought it specifically for one of our dogs who has food allergies and it works great for him"
" B0019CW0HE"," A37N9XZBB8JYOF"," Ash52"," 1/1",5,1333670400," Great for my dogs allergies"," My dog has a ton of allergies both environmental and food. She was on a prescription dog food before we had her tested to see what allergies she has. After we got the test back"
" B0019CW0HE"," A1T4L0Q47OZ9N"," Wendy"," 1/1",5,1320883200," Great for stomach problems!"," My shepherd/collie mix has IBS.  Our vet recommended a limited ingredient food.  This has really helped her symptoms and she likes it.  I will always buy it from Amazon...it's $10 cheaper and free shipping!"
" B0019CW0HE"," A3IMXZE9FCUNOC"," Dana"," 1/1",5,1311638400," Better life for you dog!"," Natural Balance Dry Dog Food Lamb Meal and Brown Rice Recipe did wonders for my Jack Russell. She has awful food allergy's and this food was our last hope because it was the last food we could find that didn't have SOMETHING in it that she was allergic to. She has no problem eating it dry but normally I mix the Natural Balance Dry Lamb and Brown Rice with the Natural Balance Wet Lamb and Brown Rice.. she seems to like that better. We started feeding it to our other dog (a Bichon) too and she loves it. If your dog has allergy's or stomach issue.. or if you want your dog to eat better food-- this is it! You will see a difference in your pet."
" B0019CW0HE"," A1EC57S6C2VLTL"," Lorraine ""Agelechio"""," 0/0",5,1347408000," Great Food"," Great food! I love the idea of one food for all ages & breeds. ÃŽt's a real convenience as well as a really good product.  My 3 dogs eat less"
" B0019CW0HE"," A1OGD72Y2Y26CF"," Lisas201"," 0/0",5,1335398400," Great food for my my dog who has a sensitive stomach."," I have a standard poodle and pomeranian who both do wonderful on this food. I have switched them to a different food (due to price) a couple of times and end up going right back to natural balance."
" B0019CW0HE"," A7JWCYVPF7KCO"," gare"," 0/0",5,1334966400," Great dog food"," This is great dog food"
" B0019CW0HE"," ABG53EBZBKD23"," J. Romagnoli ""*jroma"""," 0/0",5,1333929600," Mmmmm  Mmmmm good."," This food is great - all ages dogs.  I have a 3 year old and a puppy.  They are both so soft and hardly ever get sick.  The food is good especially when you have Amazon Prime shipping"
" B0019CW0HE"," A3AF72GP4GVRY1"," John D. Meara"," 0/0",5,1330041600," Great Dog Food!"," My golden retriever is one of the most picky dogs I've ever met.  After experimenting with various types of food"
" B0019CW0HE"," A1DJAAKLPCJRZD"," wendy"," 0/0",5,1329609600," So convenient"," This is the same food we get at pet store. But it's delivered to my door! And for the same price or slightly less."
" B0019CW0HE"," A1BFNM27629VAV"," E. Triebe"," 0/0",5,1320105600," Good healthy dog food"," I've been very pleased with the Natural Balance dog food. Our dogs have had issues with other dog foods in the past and I had someone recommend Natural Balance grain free since it is possible they were allergic to grains. Since switching I haven't had any issues. It is also helpful that have have different kibble size for larger/smaller sized dogs."
" B0019CW0HE"," A18AAABCIJKC5Q"," Rhiever"," 0/0",5,1303776000," Great dog food"," My 1-1/2 year old basenji/jack russell mix loves this dog food. He's been noticeably healthier and more energetic since I switched him over from the standard dog foods earlier this year. Despite the higher cost of natural dog foods"
" B0019CW0HE"," A3UII2114114PI"," FuNky Faja ""SiLkk"""," 0/0",5,1297296000," Great allergy sensitive dog food"," dogs love it"
" B0019CW0HE"," ABZ9F0D94YK45"," Amazon-tron 3000"," 0/0",5,1295308800," Perfect for our English Bulldog with Allergies"," My English Bulldog had skin allergies the summer we got him at age 3.  The vet recommended we wean him off the food his previous owner gave him (Iams Lamb and Rice) and onto a new kind.  This was the second one we tried"
" B0019CW0HE"," A2P6ACFZ8FTNVV"," Melissa Benjamin"," 0/1",1,1331164800," Bad"," I fed this to my Golden Retriever and he hated it.  He wouldn't eat it"
" B004K2IHUO"," A1SYSKR79LA2CB"," Mycroft ""Virture is its own punishment"""," 4/5",5,1233014400," Taste wise it is a 6 star item"," The mouth says"
" B004K2IHUO"," A3D1TXE98KRKYO"," Danny ""The Student"""," 2/3",4,1256515200," Great Support"," Arrived slightly thawed. My parents wouldn't accept it. However"
" B004K2IHUO"," AVCA516CFZ9HF"," S. Fowler"," 0/0",4,1335139200," TART!"," The crust on these tarts are perfect.  My husband loves these"
" B004K2IHUO"," A1P21J0DMTVGS7"," Lovethemovies"," 0/0",5,1332028800," Omaha Apple Tartlets"," These are absolutely scrumptuous!  My husband and I both love them"
" B004K2IHUO"," AL3E5V6MXO9B0"," pionex1796"," 0/0",5,1326412800," Loved these Tartlets"," What a nice alternative to an apple pie. Love the fact there was no slicing and dicing. Easy to prepare. I also loved the fact that you can make them fresh whenever needed."
" B004K2IHUO"," A2O9G2521O626G"," Rachel Westendorf"," 0/0",5,1308700800," The best"," I like Creme Brulee. I loved that these were so easy. Just sprinkle on the sugar that came with and broil. They look amazing and taste great. My guess thought I really went out of the way for them when really it took all of 5 minutes. I will be ordering more!"
" B004K2IHUO"," A1ZKFQLHFZAEH9"," S. J. Monson ""world citizen"""," 2/8",3,1236384000," disappointing"," not what I was expecting in terms of the company's reputation for excellent home delivery products"
" B001REEG6C"," A30835UIR6F8KB"," Adam E. Smith"," 2/2",5,1295308800," Wasting Vinegar on a Cucumber is a Shame!"," I first bought pickled asparagus at an Amish market and it was love at first bite. Hence"
" B001REEG6C"," A10EHUTGNC4BGP"," M. Foell"," 1/1",5,1243728000," Asparagus Bliss"," I love asparagus.  Up until very recently"
" B001REEG6C"," AY12DBB0U420B"," Gary Peterson"," 0/0",5,1316390400," My Idea of a Good Diet Food."," I'm presently on a diet and I was at my Fresh and Easy Neighborhood Grocery looking over possible diet foods. I wanted things that were tasty"
" B000J0HIT2"," A1VKJN5Y1C7S5Y"," Wilhelmina Robinson ""Wilhelmina Robinson &#34..."," 2/2",2,1250812800," Low Carb Angel Food Puffs"," I was diappointed in the flavor and texture of this mix.  I usually like most of the Low Carb things I have tried"
" B0037LW78C"," A3VEYLW2KPZNGK"," G. Simmons"," 3/3",5,1297814400," Delicious tea"," I have been drinking this tea for a long time now.  I used to have to purchase it at a doctor's office because it wasn't available elsewhere.  I'm so glad that I can buy it now from Amazon.com.  I drink this tea throughout the day like other folks drink coffee.  Wonderful taste."
" B0037LW78C"," A2F65U0UDY7TAW"," Aldo"," 2/2",5,1337990400," My every day green tea"," I have been drinking Royal King 100% Natural Organic Green Tea (100 tea bags x 2g each) as my every day tea for several years now.  I buy 12 boxes at a time to save on shipping.  For many years I used to drink coffee from morning till night.  But finally I realized that drinking so much coffee was not healthy for me.  I finally resolved to improve my health and stopped drinking coffee all together.  I tried many alternative drinks to replace my coffee habit.  I found that green tea was not only good tasting it also has health benefits.  Green tea is one of the few drinks that actually makes you healthier (coffe and other drinks do not) - the only healthier drink is quality cold water.  In my opinion"
" B0037LW78C"," AWNANZ5VUO7IB"," John D. Zuccarino"," 1/1",5,1308960000," the best tea ever... freah bright clean"," this has to be one of the best teas I have ever tasted... it's clean"
" B0037LW78C"," A1Q4PJXI5HS5WT"," ceecee"," 0/0",5,1333065600," Tea review"," I love"
" B0037LW78C"," A2IX1B76ONTXEL"," Cinderella"," 0/0",5,1326585600," Wonderful Tea"," I love this tea. It helps curb my eating during the day. My Mom and I have given it all friends to try."
" B0026Y3YBK"," A3P60QLFDDCHOY"," Giordano ""GB"""," 2/2",5,1304899200," Great cookies"," I'm Italian and I lived in Italy for years. I used to buy these cookies for my everyday breakfast with an Italian espresso. I couldn't find them anywhere here in the Bay area"
" B0026Y3YBK"," A38BUM0OXH38VK"," singlewinder"," 0/0",5,1347667200," Best everyday cookie!"," In the 1980s I spent several summers in Italy. This biscotti is often given as a breakfast food or mid-day snack. They are simple and delicious and were not sold in the US back then. They are so good that I brought back two bags from a recent trip to Italy. It is great to see that they may now be found on Amazon!<br /><br />Note"
" B003SE19UK"," AD1WWGMEQ8FWW"," Bob Rex"," 5/5",5,1290988800," So Far So Good"," I had heard a little about this product from the local pet store"
" B003SE19UK"," A2PM49X61MWZJV"," DamiKris"," 4/4",5,1324166400," Best Cat Food"," I started buying this after I noticed my 1 year old cat was already starting to lose his ""spunk"" so I decided it was time to start buying him ""real"" cat food...not the garbage in the super markets. I found this at the pet store out of the other million choices"
" B003SE19UK"," A3A52DETIFZNZS"," Sarah Wilson"," 4/4",5,1309564800," Great food."," I have done a lot of research to find the best food for my cat"
" B003SE19UK"," A3L15C30CBPZOR"," Cynthia G. Pate"," 2/2",5,1330992000," Perfect Cat Food For Older Cats!"," This cat food was recommended by my vet because my 13 year old Cleo Cat was having trouble keeping any food down and was loosing weight.  It stopped her problems.  She doesn't eat as much as before since she seems to be more satisfied after eating which helps justify the added price.  It aids in digestion since the...ok sorry...smells are gone if ya know what I mean.  Had to add that so anyone experiencing problems with their cats can see there are a lot of benifits from this cat food."
" B003SE19UK"," A29SUR9R8ZU54B"," Alfbo"," 1/1",5,1313107200," Good for Feline UTI"," I have a 4 year old male cat who has chronic urinary tract infections.  I feed him this dry food in combination with wet food (with water added to it) and Uri Ease.  The combination seems to keeps his UTI's under control.  If I switch to another type of dry food"
" B003SE19UK"," A9GRWS6KP8SMA"," Anne Kirkwood"," 1/1",5,1292544000," Palatable and healthy"," Before I was educated about feline nutrition"
" B003SE19UK"," ASOEVZ99YWPVL"," PurpleGreen"," 0/0",5,1349049600," Healthy & They LOVE It!"," My holistic vet recommended this"
" B003SE19UK"," A1QAJ948PN36II"," Winter Green"," 0/0",5,1341964800," Wonderful food - perfect for allergic kitties"," One of my cats is allergic to fish and beef. This formula is one of the few she can eat"
" B003SE19UK"," A1LWFJRITZLYUG"," PMG1"," 0/0",5,1334188800," Holistic select cat food"," Our cats thrive extremely well on this dry cat food.  They definitely have much less hair ball throw ups and their fur is great.  They are fit and not over weight.  This vendor ships extremely fast.  Is one of the top Amazon suppliers in our book!"
" B003OB0IB8"," A34UG2TNXIL0Y"," Austin H."," 4/4",4,1325808000," Tastes great. Love Hot & Spicy. Bad price here."," I've been a fan of Hot & Spicy Maruchan Ramen for a long time. If you enjoy spice"
" B003OB0IB8"," A3NVZTGPORNPRW"," B. Pearce"," 4/4",5,1314489600," My favorite ramen"," I've been eating Ramen noodles since I was a little kid"
" B003OB0IB8"," A28D854VMOEHGX"," Benny"," 3/3",3,1329436800," It burns!"," I LOVE spicy ramen"
" B003OB0IB8"," AISIYS3D2EAOX"," RTyst"," 1/1",5,1330473600," Amazing to the last bite."," Always being a fan of ramen as a quick and easy meal"
